Technology Type,Fuel Type,Region,ISP Sub-region,REZ Location,Cost Region,Summer Rating (% of nameplate),Not Summer Rating (% of nameplate),Maintenance (% of time out),Equivalent average days per year on planned outage ,2020-21 Step Change Build Cost ($/kW),Connection Cost ($/kW),Lead Time (yrs),Economic Life (yrs),Technical Life (yrs),FOM ($/kW/annum),VOM ($/MWh sent-out),Heat Rate (GJ/MWh HHV s.o.),2021-22 Step Change Fuel Cost ($/GJ),Emissions (kg/MWh),Auxiliary Load (%),SRMC ($/MWh),,,,,,
OCGT (large GT),Gas,SA,SA,N/A,SA Low,86.38418834,98.51765649,1.369863014,5,905.301,103.3333333,2,25,40,10.57447552,2.4888,10.93124368,12.56559962,574.593839,1.1,139.8464315,,,,,,
OCGT (large GT),Gas,TAS,TAS,N/A,TAS Low,86.38418834,98.51765649,1.369863014,5,905.301,108,2,25,40,10.57447552,2.4888,10.93124368,13.33926127,574.593839,1.1,148.3035154,,,,,,
CCGT,Gas,QLD,CNQ,N/A,QLD Low,87.26725597,97.54874303,3.506849315,12.8,1807.491,103.3333333,5,25,40,11,3.8369,7.249230769,9.894471936,368.228664,2.5,75.5642104,,,,,,
CCGT,Gas,QLD,GG,N/A,QLD Low,87.26725597,97.54874303,3.506849315,12.8,1807.491,103.3333333,5,25,40,11.30017483,3.8369,7.249230769,9.894471936,368.228664,2.5,75.5642104,,,,,,
CCGT,Gas,QLD,SQ,N/A,QLD Low,87.26725597,97.54874303,3.506849315,12.8,1807.491,103.3333333,5,25,40,11.30017483,3.8369,7.249230769,9.894471936,368.228664,2.5,75.5642104,,,,,,
CCGT,Gas,NSW,NNSW,N/A,NSW Low,87.26725597,97.54874303,3.506849315,12.8,1807.491,80,5,25,40,11,3.8369,7.249230769,11.58884621,368.228664,2.5,87.84712056,,,,,,
CCGT,Gas,NSW,CNSW,N/A,NSW Low,87.26725597,97.54874303,3.506849315,12.8,1807.491,80,5,25,40,11,3.8369,7.249230769,11.58884621,368.228664,2.5,87.84712056,,,,,,
CCGT,Gas,NSW,SNW,N/A,NSW Low,87.26725597,97.54874303,3.506849315,12.8,1807.491,80,5,25,40,11.30017483,3.8369,7.249230769,11.58884621,368.228664,2.5,87.84712056,,,,,,
CCGT,Gas,NSW,SNSW,N/A,NSW Low,87.26725597,97.54874303,3.506849315,12.8,1807.491,80,5,25,40,11.30017483,3.8369,7.249230769,11.58884621,368.228664,2.5,87.84712056,,,,,,
CCGT,Gas,VIC,VIC,N/A,VIC Low,87.26725597,97.54874303,3.506849315,12.8,1807.491,75,5,25,40,11,3.8369,7.249230769,11.14818662,368.228664,2.5,84.65267747,,,,,,
CCGT,Gas,SA,SA,N/A,SA Low,87.26725597,97.54874303,3.506849315,12.8,1807.491,103.3333333,5,25,40,11,3.8369,7.249230769,12.04724298,368.228664,2.5,91.17014449,,,,,,
CCGT,Gas,TAS,TAS,N/A,TAS Low,87.26725597,97.54874303,3.506849315,12.8,1807.491,108,5,25,40,11,3.8369,7.249230769,13.33926127,368.228664,2.5,100.5362832,,,,,,
CCGT with CCS,Gas,QLD,CNQ,N/A,QLD Low,81.48170017,90.41892222,3.506849315,12.8,4558.652,103.3333333,6,25,40,16.95026224,7.4664,8.937431394,9.894471936,51.74241,8.9,95.89756411,,,,,,
CCGT with CCS,Gas,QLD,GG,N/A,QLD Low,81.48170017,90.41892222,3.506849315,12.8,4558.652,103.3333333,6,25,40,16.95026224,7.4664,8.937431394,9.894471936,51.74241,8.9,95.89756411,,,,,,
CCGT with CCS,Gas,QLD,SQ,N/A,QLD Low,81.48170017,90.41892222,3.506849315,12.8,4558.652,103.3333333,6,25,40,16.95026224,7.4664,8.937431394,9.894471936,51.74241,8.9,95.89756411,,,,,,
CCGT with CCS,Gas,NSW,NNSW,N/A,NSW Low,81.48170017,90.41892222,3.506849315,12.8,4558.652,80,6,25,40,16.95026224,7.4664,8.937431394,11.58884621,51.74241,8.9,111.040918,,,,,,
CCGT with CCS,Gas,NSW,CNSW,N/A,NSW Low,81.48170017,90.41892222,3.506849315,12.8,4558.652,80,6,25,40,16.95026224,7.4664,8.937431394,11.58884621,51.74241,8.9,111.040918,,,,,,
CCGT with CCS,Gas,NSW,SNW,N/A,NSW Low,81.48170017,90.41892222,3.506849315,12.8,4558.652,80,6,25,40,16.95026224,7.4664,8.937431394,11.58884621,51.74241,8.9,111.040918,,,,,,
CCGT with CCS,Gas,NSW,SNSW,N/A,NSW Low,81.48170017,90.41892222,3.506849315,12.8,4558.652,80,6,25,40,16.95026224,7.4664,8.937431394,11.58884621,51.74241,8.9,111.040918,,,,,,
CCGT with CCS,Gas,SA,SA,N/A,SA Low,81.48170017,90.41892222,3.506849315,12.8,4558.652,103.3333333,6,25,40,16.95026224,7.4664,8.937431394,12.04724298,51.74241,8.9,115.1378076,,,,,,
CCGT with CCS,Gas,TAS,TAS,N/A,TAS Low,81.48170017,90.41892222,3.506849315,12.8,4558.652,108,6,25,40,16.95026224,7.4664,8.937431394,13.33926127,51.74241,8.9,126.6851324,,,,,,
CCGT with CCS,Gas,VIC,VIC,N/A,VIC Low,81.48170017,90.41892222,3.506849315,12.8,4558.652,75,6,25,40,16.95026224,7.4664,8.937431394,11.14818662,51.74241,8.9,107.1025531,,,,,,
Biomass,Biomass,VIC,VIC,N/A,VIC Low,101.7811705,101.7811705,6.246575342,22.8,7533.805,108,6,30,50,136.4314685,8.73154,13.73609597,0.547543554,1270.982494,8.3,16.2526508,,,,,,
Biomass,Biomass,QLD,CNQ,N/A,QLD Low,101.7811705,101.7811705,6.246575342,22.8,7533.805,103.3333333,6,30,50,136.4314685,8.73154,13.73609597,0.547543554,1270.982494,8.3,16.2526508,,,,,,
Biomass,Biomass,QLD,GG,N/A,QLD Low,101.7811705,101.7811705,6.246575342,22.8,7533.805,103.3333333,6,30,50,136.4314685,8.73154,13.73609597,0.547543554,1270.982494,8.3,16.2526508,,,,,,
Biomass,Biomass,QLD,SQ,N/A,QLD Low,101.7811705,101.7811705,6.246575342,22.8,7533.805,103.3333333,6,30,50,136.4314685,8.73154,13.73609597,0.547543554,1270.982494,8.3,16.2526508,,,,,,
Biomass,Biomass,NSW,NNSW,N/A,NSW Low,101.7811705,101.7811705,6.246575342,22.8,7533.805,80,6,30,50,136.4314685,8.73154,13.73609597,0.547543554,1270.982494,8.3,16.2526508,,,,,,
