Technology Type,Fuel Type,Region,ISP Sub-region,REZ Location,Cost Region,Summer Rating (% of nameplate),Not Summer Rating (% of nameplate),Maintenance (% of time out),Equivalent average days per year on planned outage ,2020-21 Step Change Build Cost ($/kW),Connection Cost ($/kW),Lead Time (yrs),Economic Life (yrs),Technical Life (yrs),FOM ($/kW/annum),VOM ($/MWh sent-out),Heat Rate (GJ/MWh HHV s.o.),2021-22 Step Change Fuel Cost ($/GJ),Emissions (kg/MWh),Auxiliary Load (%),SRMC ($/MWh),,,,,,
Battery Storage (1hr storage),NA,NSW,NNSW,N/A,NSW Low,100,100,0,0,818.193,72.5,1,20,20,6.603863636,0,0,0,0,0,0,,,,,,
Battery Storage (1hr storage),NA,NSW,CNSW,N/A,NSW Low,100,100,0,0,818.193,72.5,1,20,20,6.603863636,0,0,0,0,0,0,,,,,,
Battery Storage (1hr storage),NA,NSW,SNW,N/A,NSW Low,100,100,0,0,818.193,72.5,1,20,20,6.603863636,0,0,0,0,0,0,,,,,,
Battery Storage (1hr storage),NA,NSW,SNSW,N/A,NSW Low,100,100,0,0,818.193,72.5,1,20,20,6.603863636,0,0,0,0,0,0,,,,,,
Battery Storage (1hr storage),NA,SA,SA,N/A,SA Low,100,100,0,0,818.193,96.66666667,1,20,20,6.603863636,0,0,0,0,0,0,,,,,,
Battery Storage (1hr storage),NA,TAS,TAS,N/A,TAS Low,100,100,0,0,818.193,100,1,20,20,6.603863636,0,0,0,0,0,0,,,,,,
Battery storage (2hrs storage),NA,VIC,VIC,N/A,VIC Low,100,100,0,0,1097.146,100,1,20,20,10.68851399,0,0,0,0,0,0,,,,,,
Battery Storage (2hrs storage),NA,QLD,CNQ,N/A,QLD Low,100,100,0,0,1097.146,96.66666667,1,20,20,10.68851399,0,0,0,0,0,0,,,,,,
Battery Storage (2hrs storage),NA,QLD,GG,N/A,QLD Low,100,100,0,0,1097.146,96.66666667,1,20,20,10.68851399,0,0,0,0,0,0,,,,,,
Battery Storage (2hrs storage),NA,QLD,SQ,N/A,QLD Low,100,100,0,0,1097.146,96.66666667,1,20,20,10.68851399,0,0,0,0,0,0,,,,,,
Battery Storage (2hrs storage),NA,NSW,NNSW,N/A,NSW Low,100,100,0,0,1097.146,72.5,1,20,20,10.68851399,0,0,0,0,0,0,,,,,,
Battery Storage (2hrs storage),NA,NSW,CNSW,N/A,NSW Low,100,100,0,0,1097.146,72.5,1,20,20,10.68851399,0,0,0,0,0,0,,,,,,
Battery Storage (2hrs storage),NA,NSW,SNW,N/A,NSW Low,100,100,0,0,1097.146,72.5,1,20,20,10.68851399,0,0,0,0,0,0,,,,,,
Battery Storage (2hrs storage),NA,NSW,SNSW,N/A,NSW Low,100,100,0,0,1097.146,72.5,1,20,20,10.68851399,0,0,0,0,0,0,,,,,,
Battery Storage (2hrs storage),NA,SA,SA,N/A,SA Low,100,100,0,0,1097.146,96.66666667,1,20,20,10.68851399,0,0,0,0,0,0,,,,,,
Battery Storage (2hrs storage),NA,TAS,TAS,N/A,TAS Low,100,100,0,0,1097.146,100,1,20,20,10.68851399,0,0,0,0,0,0,,,,,,
Battery Storage (4hrs storage),NA,VIC,VIC,N/A,VIC Low,100,100,0,0,1746.308,100,1,20,20,17.28201049,0,0,0,0,0,0,,,,,,
Battery Storage (4hrs storage),NA,QLD,CNQ,N/A,QLD Low,100,100,0,0,1746.308,96.66666667,1,20,20,17.28201049,0,0,0,0,0,0,,,,,,
Battery Storage (4hrs storage),NA,QLD,GG,N/A,QLD Low,100,100,0,0,1746.308,96.66666667,1,20,20,17.28201049,0,0,0,0,0,0,,,,,,
Battery Storage (4hrs storage),NA,QLD,SQ,N/A,QLD Low,100,100,0,0,1746.308,96.66666667,1,20,20,17.28201049,0,0,0,0,0,0,,,,,,
Battery Storage (4hrs storage),NA,NSW,NNSW,N/A,NSW Low,100,100,0,0,1746.308,72.5,1,20,20,17.28201049,0,0,0,0,0,0,,,,,,
Battery Storage (4hrs storage),NA,NSW,CNSW,N/A,NSW Low,100,100,0,0,1746.308,72.5,1,20,20,17.28201049,0,0,0,0,0,0,,,,,,
Battery Storage (4hrs storage),NA,NSW,SNW,N/A,NSW Low,100,100,0,0,1746.308,72.5,1,20,20,17.28201049,0,0,0,0,0,0,,,,,,
Battery Storage (4hrs storage),NA,NSW,SNSW,N/A,NSW Low,100,100,0,0,1746.308,72.5,1,20,20,17.28201049,0,0,0,0,0,0,,,,,,
Battery Storage (4hrs storage),NA,SA,SA,N/A,SA Low,100,100,0,0,1746.308,96.66666667,1,20,20,17.28201049,0,0,0,0,0,0,,,,,,
Battery Storage (4hrs storage),NA,TAS,TAS,N/A,TAS Low,100,100,0,0,1746.308,100,1,20,20,17.28201049,0,0,0,0,0,0,,,,,,
Battery Storage (8hrs storage),NA,VIC,VIC,N/A,VIC Low,100,100,0,0,3077.816,100,1,20,20,28.02236014,0,0,0,0,0,0,,,,,,
Battery Storage (8hrs storage),NA,QLD,CNQ,N/A,QLD Low,100,100,0,0,3077.816,96.66666667,1,20,20,28.02236014,0,0,0,0,0,0,,,,,,
Battery Storage (8hrs storage),NA,QLD,GG,N/A,QLD Low,100,100,0,0,3077.816,96.66666667,1,20,20,28.02236014,0,0,0,0,0,0,,,,,,
Battery Storage (8hrs storage),NA,QLD,SQ,N/A,QLD Low,100,100,0,0,3077.816,96.66666667,1,20,20,28.02236014,0,0,0,0,0,0,,,,,,
Battery Storage (8hrs storage),NA,NSW,NNSW,N/A,NSW Low,100,100,0,0,3077.816,72.5,1,20,20,28.02236014,0,0,0,0,0,0,,,,,,
Battery Storage (8hrs storage),NA,NSW,CNSW,N/A,NSW Low,100,100,0,0,3077.816,72.5,1,20,20,28.02236014,0,0,0,0,0,0,,,,,,
Battery Storage (8hrs storage),NA,NSW,SNW,N/A,NSW Low,100,100,0,0,3077.816,72.5,1,20,20,28.02236014,0,0,0,0,0,0,,,,,,
Battery Storage (8hrs storage),NA,NSW,SNSW,N/A,NSW Low,100,100,0,0,3077.816,72.5,1,20,20,28.02236014,0,0,0,0,0,0,,,,,,
Battery Storage (8hrs storage),NA,SA,SA,N/A,SA Low,100,100,0,0,3077.816,96.66666667,1,20,20,28.02236014,0,0,0,0,0,0,,,,,,
Battery Storage (8hrs storage),NA,TAS,TAS,N/A,TAS Low,100,100,0,0,3077.816,100,1,20,20,28.02236014,0,0,0,0,0,0,,,,,,
Wind,Wind,QLD,CNQ,Far North QLD,QLD Low,100,100,0,0,2023.187,229.3333333,2,25,30,25.91783217,0,0,0,0,0.28,0,,,,,,
Wind,Wind,QLD,CNQ,North Qld Clean Energy Hub,QLD Low,100,100,0,0,2023.187,262.6666667,2,25,30,25.91783217,0,0,0,0,0.28,0,,,,,,
Wind,Wind,QLD,CNQ,Northern Qld,QLD Low,100,100,0,0,2023.187,229.3333333,2,25,30,25.91783217,0,0,0,0,0.28,0,,,,,,
Wind,Wind,QLD,CNQ,Isaac,QLD Low,100,100,0,0,2023.187,229.3333333,2,25,30,25.91783217,0,0,0,0,0.28,0,,,,,,
Wind,Wind,QLD,CNQ,Barcaldine,QLD Medium,100,100,0,0,2178.483086,156.6666667,2,25,30,29.06672766,0,0,0,0,0.28,0,,,,,,
Wind,Wind,QLD,CNQ,Fitzroy,QLD Low,100,100,0,0,2023.187,123.3333333,2,25,30,25.91783217,0,0,0,0,0.28,0,,,,,,
Wind,Wind,QLD,SQ,Wide Bay,QLD Low,100,100,0,0,2023.187,123.3333333,2,25,30,25.91783217,0,0,0,0,0.28,0,,,,,,
Wind,Wind,QLD,SQ,Darling Downs,QLD Low,100,100,0,0,2023.187,123.3333333,2,25,30,25.91783217,0,0,0,0,0.28,0,,,,,,
Wind,Wind,QLD,SQ,Banana,QLD Medium,100,100,0,0,2178.483086,123.3333333,2,25,30,29.06672766,0,0,0,0,0.28,0,,,,,,
Wind,Wind,NSW,NNSW,North West NSW,NSW Medium,100,100,0,0,2148.220862,132.5,2,25,30,27.98208429,0,0,0,0,0.28,0,,,,,,
Wind,Wind,NSW,NNSW,New England,NSW Low,100,100,0,0,2023.187,132.5,2,25,30,25.91783217,0,0,0,0,0.28,0,,,,,,
Wind,Wind,NSW,CNSW,Central-West Orana,NSW Medium,100,100,0,0,2148.220862,132.5,2,25,30,27.98208429,0,0,0,0,0.28,0,,,,,,
Wind,Wind,NSW,SNSW,Broken Hill,NSW High,100,100,0,0,2273.254725,176,2,25,30,30.27569775,0,0,0,0,0.28,0,,,,,,
Wind,Wind,NSW,SNSW,South West NSW,NSW High,100,100,0,0,2273.254725,132.5,2,25,30,30.27569775,0,0,0,0,0.28,0,,,,,,
Wind,Wind,NSW,SNSW,Wagga Wagga,NSW Medium,100,100,0,0,2148.220862,132.5,2,25,30,27.98208429,0,0,0,0,0.28,0,,,,,,
Wind,Wind,NSW,SNSW,Tumut,NSW Medium,100,100,0,0,2148.220862,208.5,2,25,30,27.98208429,0,0,0,0,0.28,0,,,,,,
Wind,Wind,NSW,SNSW,Cooma-Monaro,NSW Medium,100,100,0,0,2148.220862,102.5,2,25,30,27.98208429,0,0,0,0,0.28,0,,,,,,
Wind,Wind,VIC,VIC,Ovens Murray,VIC Medium,100,100,0,0,2080.447009,242,2,25,30,26.69536713,0,0,0,0,0.28,0,,,,,,
Wind,Wind,VIC,VIC,Murray River,VIC Medium,100,100,0,0,2080.447009,242,2,25,30,27.21372378,0,0,0,0,0.28,0,,,,,,
Wind,Wind,VIC,VIC,Western Victoria,VIC Medium,100,100,0,0,2080.447009,136,2,25,30,26.69536713,0,0,0,0,0.28,0,,,,,,
Wind,Wind,VIC,VIC,South West Victoria,VIC Medium,100,100,0,0,2080.447009,212.6666667,2,25,30,26.69536713,0,0,0,0,0.28,0,,,,,,
Wind,Wind,VIC,VIC,Gippsland,VIC Low,100,100,0,0,2023.187,176,2,25,30,25.91783217,0,0,0,0,0.28,0,,,,,,
Wind,Wind,VIC,VIC,Central North Vic,VIC High,100,100,0,0,2118.620349,282,2,25,30,26.69536713,0,0,0,0,0.28,0,,,,,,
Wind,Wind,SA,SA,South East SA,SA Low,100,100,0,0,2023.187,156.6666667,2,25,30,25.91783217,0,0,0,0,0.28,0,,,,,,
Wind,Wind,SA,SA,Riverland,SA Low,100,100,0,0,2023.187,156.6666667,2,25,30,25.91783217,0,0,0,0,0.28,0,,,,,,
Wind,Wind,SA,SA,Mid-North SA,SA Low,100,100,0,0,2023.187,229.3333333,2,25,30,25.91783217,0,0,0,0,0.28,0,,,,,,
Wind,Wind,SA,SA,Yorke Peninsula,SA Low,100,100,0,0,2023.187,123.3333333,2,25,30,25.91783217,0,0,0,0,0.28,0,,,,,,
Wind,Wind,SA,SA,Northern SA,SA Medium,100,100,0,0,2174.196241,229.3333333,2,25,30,28.99717856,0,0,0,0,0.28,0,,,,,,
Wind,Wind,SA,SA,Leigh Creek,SA Medium,100,100,0,0,2174.196241,156.6666667,2,25,30,28.99717856,0,0,0,0,0.28,0,,,,,,
Wind,Wind,SA,SA,Roxby Downs,SA Medium,100,100,0,0,2174.196241,262.6666667,2,25,30,28.99717856,0,0,0,0,0.28,0,,,,,,
Wind,Wind,SA,SA,Eastern Eyre Peninsula,SA Medium,100,100,0,0,2174.196241,262.6666667,2,25,30,28.99717856,0,0,0,0,0.28,0,,,,,,
Wind,Wind,SA,SA,Western Eyre Peninsula,SA Medium,100,100,0,0,2174.196241,156.6666667,2,25,30,28.99717856,0,0,0,0,0.28,0,,,,,,
Wind,Wind,TAS,TAS,North East Tasmania,TAS Low,100,100,0,0,2023.187,226.6666667,2,25,30,25.91783217,0,0,0,0,0.28,0,,,,,,
Wind,Wind,TAS,TAS,North West Tasmania,TAS Medium,100,100,0,0,2148.855775,332.6666667,2,25,30,28.13936064,0,0,0,0,0.28,0,,,,,,
Wind,Wind,TAS,TAS,Central Highlands,TAS Low,100,100,0,0,2023.187,332.6666667,2,25,30,25.91783217,0,0,0,0,0.28,0,,,,,,
Wind,Wind,NSW,CNSW,New South Wales Non-REZ,NSW Medium,100,100,0,0,2148.220862,106.6666667,2,25,30,27.98208429,0,0,0,0,0.28,0,,,,,,
Wind,Wind,VIC,VIC,Victoria Non-REZ,VIC Medium,100,100,0,0,2080.447009,212.6666667,2,25,30,26.69536713,0,0,0,0,0.28,0,,,,,,
Wind - offshore,Wind,NSW,SNW,Hunter Coast,NSW Low,100,100,0,0,5984.527,0,9,25,35,163.468951,0,0,0,0,0.28,0,,,,,,
Wind - offshore,Wind,NSW,SNW,Illawarra Coast,NSW Low,100,100,0,0,5984.527,0,9,25,35,163.468951,0,0,0,0,0.28,0,,,,,,
Wind - offshore,Wind,VIC,VIC,Gippsland Coast,VIC Low,100,100,0,0,5984.527,0,9,25,35,163.468951,0,0,0,0,0.28,0,,,,,,
Wind - offshore,Wind,TAS,TAS,North West Tasmania Coast,TAS Low,100,100,0,0,5984.527,0,9,25,35,163.468951,0,0,0,0,0.28,0,,,,,,
Wind - offshore,Wind,VIC,VIC,Portland Coast,VIC Low,100,100,0,0,5984.527,0,9,25,35,163.468951,0,0,0,0,0.28,0,,,,,,
Wind - offshore,Wind,SA,SA,South East SA Coast,SA Low,100,100,0,0,5984.527,0,9,25,35,163.468951,0,0,0,0,0.28,0,,,,,,
Pumped Hydro (8hrs storage),Water,VIC,VIC,N/A,VIC,100,100,0.273972603,1,2524.883929,0,6,40,50,16.79292035,0,0,0,0,0.5,0,,,,,,
Pumped Hydro (8hrs storage),Water,QLD,CNQ,N/A,CNQ,100,100,0.273972603,1,2551.130124,0,6,40,50,16.79292035,0,0,0,0,0.5,0,,,,,,
Pumped Hydro (8hrs storage),Water,QLD,GG,N/A,GG,100,100,0.273972603,1,0,0,6,40,50,16.79292035,0,0,0,0,0.5,0,,,,,,
Pumped Hydro (8hrs storage),Water,QLD,SQ,N/A,SQ,100,100,0.273972603,1,2813.592071,0,6,40,50,16.79292035,0,0,0,0,0.5,0,,,,,,
Pumped Hydro (8hrs storage),Water,NSW,NNSW,N/A,NNSW,100,100,0.273972603,1,2225.67731,0,6,40,50,16.79292035,0,0,0,0,0.5,0,,,,,,
Pumped Hydro (8hrs storage),Water,NSW,CNSW,N/A,CNSW,100,100,0.273972603,1,2587.874796,0,6,40,50,16.79292035,0,0,0,0,0.5,0,,,,,,
Pumped Hydro (8hrs storage),Water,NSW,SNW,N/A,SNW,100,100,0.273972603,1,0,0,6,40,50,16.79292035,0,0,0,0,0.5,0,,,,,,
Pumped Hydro (8hrs storage),Water,NSW,SNSW,N/A,SNSW,100,100,0.273972603,1,2635.117947,0,6,40,50,16.79292035,0,0,0,0,0.5,0,,,,,,
Pumped Hydro (8hrs storage),Water,SA,SA,N/A,SA,100,100,0.273972603,1,3412.00531,0,6,40,50,16.79292035,0,0,0,0,0.5,0,,,,,,
Pumped Hydro (8hrs storage),Water,TAS,TAS,N/A,TAS,100,100,0.273972603,1,1889.726018,0,6,40,50,16.79292035,0,0,0,0,0.5,0,,,,,,
Pumped Hydro (24hrs storage),Water,VIC,VIC,N/A,VIC,100,100,0.273972603,1,3543.236283,0,6,40,50,16.79292035,0,0,0,0,0.5,0,,,,,,
Pumped Hydro (24hrs storage),Water,QLD,CNQ,N/A,CNQ,100,100,0.273972603,1,3118.047929,0,6,40,50,16.79292035,0,0,0,0,0.5,0,,,,,,
Pumped Hydro (24hrs storage),Water,QLD,GG,N/A,GG,100,100,0.273972603,1,0,0,6,40,50,16.79292035,0,0,0,0,0.5,0,,,,,,
Pumped Hydro (24hrs storage),Water,QLD,SQ,N/A,SQ,100,100,0.273972603,1,3417.254549,0,6,40,50,16.79292035,0,0,0,0,0.5,0,,,,,,
Pumped Hydro (24hrs storage),Water,NSW,NNSW,N/A,NNSW,100,100,0.273972603,1,2913.327611,0,6,40,50,16.79292035,0,0,0,0,0.5,0,,,,,,
Pumped Hydro (24hrs storage),Water,NSW,CNSW,N/A,CNSW,100,100,0.273972603,1,3826.695186,0,6,40,50,16.79292035,0,0,0,0,0.5,0,,,,,,
Pumped Hydro (24hrs storage),Water,NSW,SNW,N/A,SNW,100,100,0.273972603,1,0,0,6,40,50,16.79292035,0,0,0,0,0.5,0,,,,,,
Pumped Hydro (24hrs storage),Water,NSW,SNSW,N/A,SNSW,100,100,0.273972603,1,3558.984,0,6,40,50,16.79292035,0,0,0,0,0.5,0,,,,,,
Pumped Hydro (24hrs storage),Water,SA,SA,N/A,SA,100,100,0.273972603,1,5905.393805,0,6,40,50,16.79292035,0,0,0,0,0.5,0,,,,,,
Pumped Hydro (24hrs storage),Water,TAS,TAS,N/A,TAS,100,100,0.273972603,1,2188.932637,0,6,40,50,16.79292035,0,0,0,0,0.5,0,,,,,,
Pumped Hydro (48hrs storage),Water,VIC,VIC,N/A,VIC,100,100,0.273972603,1,5322.728283,0,6,40,50,16.79292035,0,0,0,0,0.5,0,,,,,,
Pumped Hydro (48hrs storage),Water,QLD,CNQ,N/A,CNQ,100,100,0.273972603,1,4598.33331,0,6,40,50,16.79292035,0,0,0,0,0.5,0,,,,,,
Pumped Hydro (48hrs storage),Water,QLD,GG,N/A,GG,100,100,0.273972603,1,0,0,6,40,50,16.79292035,0,0,0,0,0.5,0,,,,,,
Pumped Hydro (48hrs storage),Water,QLD,SQ,N/A,SQ,100,100,0.273972603,1,4661.324177,0,6,40,50,16.79292035,0,0,0,0,0.5,0,,,,,,
Pumped Hydro (48hrs storage),Water,NSW,NNSW,N/A,NNSW,100,100,0.273972603,1,3322.768248,0,6,40,50,16.79292035,0,0,0,0,0.5,0,,,,,,
Pumped Hydro (48hrs storage),Water,NSW,CNSW,N/A,CNSW,100,100,0.273972603,1,5968.384673,0,6,40,50,16.79292035,0,0,0,0,0.5,0,,,,,,
Pumped Hydro (48hrs storage),Water,NSW,SNW,N/A,SNW,100,100,0.273972603,1,0,0,6,40,50,16.79292035,0,0,0,0,0.5,0,,,,,,
Pumped Hydro (48hrs storage),Water,NSW,SNSW,N/A,SNSW,100,100,0.273972603,1,4850.296779,0,6,40,50,16.79292035,0,0,0,0,0.5,0,,,,,,
Pumped Hydro (48hrs storage),Water,TAS,TAS,N/A,TAS,100,100,0.273972603,1,2472.39154,0,6,40,50,16.79292035,0,0,0,0,0.5,0,,,,,,
BOTN - Cethana,Water,TAS,TAS,N/A,TAS,100,100,0.273972603,1,2188.932637,0,6,40,50,18.23231353,0,0,0,0,0.5,0,,,,,,
Hydrogen turbine (large),Hydrogen,QLD,CNQ,N/A,QLD Low,86.38418834,98.51765649,1.369863014,5,1194.624,103.3333333,2,25,40,10.57447552,2.4888,10.93124368,0,0,1.1,,,,,,,
Hydrogen turbine (large),Hydrogen,QLD,GG,N/A,QLD Low,86.38418834,98.51765649,1.369863014,5,1194.624,103.3333333,2,25,40,10.57447552,2.4888,10.93124368,0,0,1.1,,,,,,,
Hydrogen turbine (large),Hydrogen,QLD,SQ,N/A,QLD Low,86.38418834,98.51765649,1.369863014,5,1194.624,103.3333333,2,25,40,10.57447552,2.4888,10.93124368,0,0,1.1,,,,,,,
Hydrogen turbine (large),Hydrogen,NSW,NNSW,N/A,NSW Low,86.38418834,98.51765649,1.369863014,5,1194.624,80,2,25,40,10.57447552,2.4888,10.93124368,0,0,1.1,,,,,,,
Hydrogen turbine (large),Hydrogen,NSW,CNSW,N/A,NSW Low,86.38418834,98.51765649,1.369863014,5,1194.624,80,2,25,40,10.57447552,2.4888,10.93124368,0,0,1.1,,,,,,,
Hydrogen turbine (large),Hydrogen,NSW,SNW,N/A,NSW Low,86.38418834,98.51765649,1.369863014,5,1194.624,80,2,25,40,10.57447552,2.4888,10.93124368,0,0,1.1,,,,,,,
Hydrogen turbine (large),Hydrogen,NSW,SNSW,N/A,NSW Low,86.38418834,98.51765649,1.369863014,5,1194.624,80,2,25,40,10.57447552,2.4888,10.93124368,0,0,1.1,,,,,,,
Hydrogen turbine (large),Hydrogen,VIC,VIC,N/A,VIC Low,86.38418834,98.51765649,1.369863014,5,1194.624,108,2,25,40,10.57447552,2.4888,10.93124368,0,0,1.1,,,,,,,
Hydrogen turbine (large),Hydrogen,SA,SA,N/A,SA Low,86.38418834,98.51765649,1.369863014,5,1194.624,103.3333333,2,25,40,10.57447552,2.4888,10.93124368,0,0,1.1,,,,,,,
Hydrogen turbine (large),Hydrogen,TAS,TAS,N/A,TAS Low,86.38418834,98.51765649,1.369863014,5,1194.624,108,2,25,40,10.57447552,2.4888,10.93124368,0,0,1.1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,M
