Station Name,Current Output (MW),Region,Most Recent Output Time (AEST),Current % of Max Cap,Current % of Reg Cap,Max Cap (MW),Reg Cap (MW),Max ROC/Min,Unit Size (MW),Physical Unit No.,Participant,Dispatch Type,Category,Classification,Fuel Source - Primary,Fuel Source - Descriptor,Technology Type - Primary,Technology Type - Descriptor,Aggregation,DUID,Lat,Lon
Cherry Tree Wind Farm,14.73,VIC1,2022-08-30T04:05:00+0000,25.84,25.57,57,57.6,0,3.562,Jan-16,Cherry Tree Wind Farm Pty Ltd as trustee for The Cherry Tree Project trust,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Y,CHYTWF1,-37.099382,145.267835
Bulgana Green Power Hub,101.37,VIC1,2022-08-30T04:05:00+0000,49.69,49.69,204,204,41,3.65,Jan-56,Bulgana Wind Farm Pty Ltd,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Y,BULGANA1,-37.118103,142.96053
Goonumbla Solar Farm,55.56,NSW1,2022-08-30T04:05:00+0000,80.52,65.36,69,85,13,2.25,Jan-31,Goonumbla Asset Co Pty Ltd as the Trustee for Goonumbla Asset Trust,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat Panel,Y,GOONSF1,-33.107259,148.082759
Gullen Range Wind Farm,104.50702,NSW1,2022-08-30T04:05:00+0000,,,-,-,-,3.451,74-104,New Gullen Range Wind Farm Pty Ltd,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Y,GULLRWF2,-34.61491677,149.4597433
Limondale Solar Farm 1,68.21719,NSW1,2022-08-30T04:05:00+0000,31.01,24.81,220,275,44,2.2,1-100,Limondale Sun Farm Pty Ltd,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat Panel,Y,LIMOSF11,-34.77619,143.50312
Darlington Point Solar Farm,48.5209,NSW1,2022-08-30T04:05:00+0000,17.64,14.98,275,324,55,2.546,1-108,Darlington Point Solar Farm Pty Ltd,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Y,DARLSF1,-34.647597,146.054976
Kiamal Solar Farm,117.33594,VIC1,2022-08-30T04:05:00+0000,58.67,49.09,200,239,40,1.333,1-150,KSF Project Nominees Pty Ltd As The Trustee For KSF Project Trust,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat Panel,Y,KIAMSF1,-35.020407,142.29854
Warwick Solar Farm 1,8.99,QLD1,2022-08-30T04:05:00+0000,28.09,23.05,32,39,7,1.33,Jan-24,The University of Queensland,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Flat Panel,Y,WARWSF1,-28.1803441,152.0700507
Warwick Solar Farm 2,8.87,QLD1,2022-08-30T04:05:00+0000,27.72,22.74,32,39,7,1.33,Jan-24,The University of Queensland,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Flat Panel,Y,WARWSF2,-28.1803441,152.0700507
Morgan-Whyalla Pipeline Pumping Station No 3,1.00E-02,SA1,2022-08-30T04:05:00+0000,0.17,0.14,6,7,2,2.5,1-Mar,South Australian Water Corporation,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Y,MWPS3PV1,-33.9717444,139.1715928
Wellington Solar Farm,103.625,NSW1,2022-08-30T04:05:00+0000,60.96,47.97,170,216,34,1.287,1-132,Lightsource Australia SPV 4 Pty Ltd,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat Panel,Y,WELLSF1,-32.515612,148.960518
Collector Wind Farm 1,189.71562,NSW1,2022-08-30T04:05:00+0000,86.63,83.94,219,226,44,4.055,Jan-54,Collector Wind Farm Pty Ltd,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Y,COLWF01,-34.8405,149.39398
Molong Solar Farm,0,NSW1,2022-08-30T04:05:00+0000,0,0,30,36,6,1.364,Jan-22,Molong Operationsco Pty Ltd As The Trustee For Molong Operations Trust,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Y,MOLNGSF1,-33.083961,148.9081967
Sunraysia Solar Farm,60.35626,NSW1,2022-08-30T04:05:00+0000,30.18,26.47,200,228,40,1.923,1-104,Sunraysia Solar Project Pty Ltd As Trustee For Sunraysia Solar Project Trust,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Flat panel,Y,SUNRSF1,-34.8215156,143.5087952
Yatpool Solar Farm,16.94,VIC1,2022-08-30T04:05:00+0000,20.91,18.02,81,94,16,2.25,Jan-36,Yatpool Sun Farm Pty Ltd,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Y,YATSF1,-34.396293,142.1735493
Moorabool Wind Farm,277.62003,VIC1,2022-08-30T04:05:00+0000,91.02,88.98,305,312,30,2.932,1-104,Moorabool Wind Farm Interface Company Pty Ltd,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Y,MOORAWF1,-37.7401943,144.1627678
Crudine Ridge Wind Farm,113.69812,NSW1,2022-08-30T04:05:00+0000,82.39,80.64,138,141,27,3.72,Jan-37,CRWF Nominees Pty Ltd As Trustee For The CRWF Trust,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Y,CRURWF1,-33.005358,149.616812
Jemalong Solar Project,42.66,NSW1,2022-08-30T04:05:00+0000,85.32,77.56,50,55,10,2.5,Jan-20,Jemalong PV Asset Pty Ltd as Trustee for the Jemalong PV Asset Trust,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Y,JEMALNG1,-33.40747,147.64525
Middlemount Solar Farm,4.45,QLD1,2022-08-30T04:05:00+0000,17.12,14.83,26,30,6,2.166,1-Dec,Capricorn SF No1 Pty Ltd,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,N,MIDDLSF1,-22.8228624,148.7137122
Bango 973 Wind Farm,63.3,NSW1,2022-08-30T04:05:00+0000,40.84,39.81,155,159,31,5.16,Jan-30,BWF Nominees Pty Ltd as The Trustee for BWF Trust,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Y,BANGOWF1,-34.55885,148.78935
Glenrowan West Solar Farm,35.43,VIC1,2022-08-30T04:05:00+0000,32.21,26.84,110,132,22,2.29,Jan-48,Wirtgen Energy Glenrowan Pty Ltd,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat Panel,Y,GLRWNSF1,-36.49802,146.13302
Morgan-Whyalla Pipeline Pumping Station No 4,1.00E-02,SA1,2022-08-30T04:05:00+0000,0.25,0.2,4,5,1,2,1-Feb,South Australian Water Corporation,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Y,MWPS4PV1,-33.965215,139.06094
Corowa Solar Farm,9.67014,NSW1,2022-08-30T04:05:00+0000,32.23,26.86,30,36,6,1.3,Jan-22,Corowa Operationsco Pty Ltd As The Trustee For Corowa Operations Trust,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Y,CRWASF1,-35.978802,146.359651
Morgan-Whyalla Pipeline Pumping Station No 1,0,SA1,2022-08-30T04:05:00+0000,0,0,4,5,1,2,1-Feb,South Australian Water Corporation,Generator,Market,Semi-Scheduled,Solar,solar,Renewable,Photovoltaic Tracking Flat panel,Y,MWPS1PV1,-34.021229,139.6836843
Morgan-Whyalla Pipeline Pumping Station No 2,0,SA1,2022-08-30T04:05:00+0000,0,0,4,5,1,2,1-Feb,South Australian Water Corporation,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Y,MWPS2PV1,-33.971238,139.4214753
Berrybank Wind Farm,165.25626,VIC1,2022-08-30T04:05:00+0000,93.95,91.5,175.9,180.6,36,4.06,Jan-43,Berrybank Development Pty Ltd,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Y,BRYB1WF1,-37.991305,143.451521
Winton Solar Farm,19.79,VIC1,2022-08-30T04:05:00+0000,23.28,18.5,85,107,17,0.0789,1-1076,Winton Asset Co Pty Ltd as the Trustee for Winton Asset Trust,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat Panel,Y,WINTSF1,-36.504076,146.124359
Gangarri Solar Farm,13.215,QLD1,2022-08-30T04:05:00+0000,11.01,8.16,120,162,24,2.222,Jan-54,Shell New Energies Australia Pty Ltd,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat Panel,Y,GANGARR1,-26.267891,149.748705
Adelaide Desalination Plant,0,SA1,2022-08-30T04:05:00+0000,0,0,6,7.76,2,"3.14, 2.31","1, 2-3",South Australian Water Corporation,Generator,Market,Scheduled,Battery storage,Grid,Storage,Battery and Inverter,Y,ADPBA1G,-35.09984,138.48384
Adelaide Desalination Plant,4.769,SA1,2022-08-30T04:05:00+0000,79.48,61.46,6,7.76,2,"3.14, 2.31","1, 2-3",South Australian Water Corporation,Load,Market,Scheduled,Battery storage,Grid,Storage,Battery and Inverter,Y,ADPBA1L,-35.09984,138.48384
Adelaide Desalination Plant,8.50E-02,SA1,2022-08-30T04:05:00+0000,0.45,0.34,19,24.75,4,2.75,"1-4, 5-9",South Australian Water Corporation,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Y,ADPPV1,-35.09984,138.48384
Bango 999 Wind Farm,31.49782,NSW1,2022-08-30T04:05:00+0000,38.04,37.14,82.8,84.8,17,5.125,Jan-16,BWF Nominees Pty Ltd as The Trustee for BWF Trust,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Y,BANGOWF2,-34.55885,148.78935
Junee Solar Farm,13.12154,NSW1,2022-08-30T04:05:00+0000,43.74,36.45,30,36,6,1.363,Jan-22,Junee Operationsco Pty Ltd Atf Junee Operations Trust,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Y,JUNEESF1,-34.815205,147.572829
Wagga North Solar Farm,7.5,NSW1,2022-08-30T04:05:00+0000,15.62,13.64,48,55,10,1.411,Jan-34,Wagga Wagga Operationsco Pty Ltd Atf Wagga Wagga Operations Trust,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat Panel,Y,WAGGNSF1,-35.0705443,147.4370662
Kennedy Energy Park Battery,0,QLD1,2022-08-30T04:05:00+0000,0,0,2,2,0,0.5,1-Apr,Kennedy Energy Park Pty Ltd,Generator,Market,Non-Scheduled,Battery storage,Grid,Storage,Battery,Y,KEPBG1,-20.872702,144.414281
Kennedy Energy Park,0.66,QLD1,2022-08-30T04:05:00+0000,4.4,4.12,15,16,3,2.5,1-Jun,Kennedy Energy Park Pty Ltd,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Y,KEPSF1,-20.874707,144.420674
Kennedy Energy Park,24.51,QLD1,2022-08-30T04:05:00+0000,57,57,43,43,8,3.6,1-Dec,Kennedy Energy Park Pty Ltd,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Y,KEPWF1,-20.93815,144.371336
Gunnedah Solar Farm,37.5014,NSW1,2022-08-30T04:05:00+0000,34.09,26.04,110,144,22,1.22,Jan-90,Gunnedah SF Pty Ltd as Trustee for Gunnedah Asset Trust,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Y,GNNDHSF1,-30.949586,150.345351
Bulgana Green Power Hub,0,VIC1,2022-08-30T04:05:00+0000,0,0,20,24,4,0.5,Jan-40,Bulgana Wind Farm Pty Ltd,Generator,Market,Scheduled,Battery storage,Grid,Storage,Battery,Y,BULBESG1,-37.118103,142.96053
Bulgana Green Power Hub,3.00E-02,VIC1,2022-08-30T04:05:00+0000,0.15,0.12,20,24,4,0.5,Jan-40,Bulgana Wind Farm Pty Ltd,Load,Market,Scheduled,Battery storage,Grid,Storage,Battery,Y,BULBESL1,-37.118103,142.96053
Wandoan Battery Energy Storage System (BESS),59.9458,QLD1,2022-08-30T04:05:00+0000,59.95,48.74,100,123,20,2.94,Jan-34,AGL Sales (Queensland Electricity) Pty Limited,Generator,Market,Scheduled,Battery storage,Grid,Storage,Battery,Y,WANDBG1,-26.268673,149.7669713
Wandoan Battery Energy Storage System (BESS),0,QLD1,2022-08-30T04:05:00+0000,0,0,100,123,20,2.94,Jan-34,AGL Sales (Queensland Electricity) Pty Limited,Load,Market,Scheduled,,,Storage,Battery,Y,WANDBL1,-26.268673,149.7669713
Stockyard Hill Wind Farm,481.72,VIC1,2022-08-30T04:05:00+0000,94.27,90.72,511,531,102,3.57,1-149,Stockyard Hill Wind Farm Pty Ltd,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Y,STOCKYD1,-37.5506849,143.2964448
Suntop Solar Farm,114.61626,NSW1,2022-08-30T04:05:00+0000,76.41,65.5,150,175,30,1.36,1-110,Suntop SF Pty Ltd as trustee for the Suntop Asset Trust,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Y,SUNTPSF1,-32.58284,148.82721
Victorian Big Battery,0,VIC1,2022-08-30T04:05:00+0000,0,0,300,360,60,1.415,1-212,Victorian Big Battery Pty Ltd,Generator,Market,Scheduled,Battery storage,Grid,Storage,Battery and Inverter,Y,VBBG1,-38.0379094,144.2874746
Victorian Big Battery,1.5,VIC1,2022-08-30T04:05:00+0000,0.6,0.42,250,360,50,1.179,1-212,Victorian Big Battery Pty Ltd,Load,Market,Scheduled,,,Storage,Battery and Inverter,Y,VBBL1,-38.0379094,144.2874746
"Mannum - Adelaide Pipeline Pumping Station No 2, PV Units 1-6",1.00E-02,SA1,2022-08-30T04:05:00+0000,0.08,0.06,13,16.5,3,2.75,1-Jun,South Australian Water Corporation,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Y,MAPS2PV1,-34.8574032,139.1642617
Hillston Sun Farm,26.05568,NSW1,2022-08-30T04:05:00+0000,30.65,23.69,85,110,17,2.125,Jan-40,Hillston Sun Farm Operations Pty Ltd ATF Hillston Sun Farm Operations Trust,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Y,HILLSTN1,-33.52372,145.52427
Wallgrove BESS 1,0,NSW1,2022-08-30T04:05:00+0000,0,0,50,50,20,1.39,Jan-36,Iberdrola Australia Wallgrove Pty Limited,Generator,Market,Scheduled,Battery storage,Grid,Storage,Battery and Inverter,Y,WALGRVG1,-33.8155021,150.8227187
Wallgrove BESS 1,0,NSW1,2022-08-30T04:05:00+0000,0,0,47,47,20,1.306,Jan-36,Iberdrola Australia Wallgrove Pty Limited,Load,Market,Scheduled,,,Storage,Battery and Inverter,Y,WALGRVL1,-33.8155021,150.8227187
Sebastopol Solar Farm,39.32897,NSW1,2022-08-30T04:05:00+0000,43.7,35.75,90,110,18,2.25,Jan-40,Sebastopol Asset Co Pty Ltd as Trustee for the Sebastopol Asset Trust,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Y,SEBSF1,-34.602951,147.5548858
Diapur Wind Farm,7.3,VIC1,2022-08-30T04:05:00+0000,104.29,91.25,7,8,5,3.5,1-Feb,Diapur Wind Farm Pty Ltd,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,N,DIAPURWF1,-36.340308,141.448999
Bolivar Waste Water Treatment Plant,0,SA1,2022-08-30T04:05:00+0000,0,0,2,3.08,1,"0.64, 0.58","1-3, 4-5",South Australian Water Corporation,Generator,Market,Scheduled,Battery storage,Grid,Storage,Battery and Inverter,Y,BOWWBA1G,-34.771581,138.584148
Bolivar Waste Water Treatment Plant,0,SA1,2022-08-30T04:05:00+0000,0,0,2,3.08,1,"0.64, 0.58","1-3, 4-5",South Australian Water Corporation,Load,Market,Scheduled,Battery storage,Grid,Storage,Battery and Inverter,Y,BOWWBA1L,-34.771581,138.584148
Bolivar Waste Water Treatment Plant,0,SA1,2022-08-30T04:05:00+0000,0,0,6,8.25,2,2.75,1-Mar,South Australian Water Corporation,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Y,BOWWPV1,-34.771581,138.584148
Western Downs GPH,16.425,QLD1,2022-08-30T04:05:00+0000,2.05,1.64,800,1002,80,2.395,"1-83, 84-167",Western Downs Green Power Hub Pty Ltd ATF Western Downs Green Power Hub Trust,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat Panel,Y,WDGPH1,-26.95839,150.67891
Lincoln Gap Wind Farm,0,SA1,2022-08-30T04:05:00+0000,0,0,85,86,17,3.541,36-59,Lincoln Gap Wind Farm (Operations) Pty Ltd,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Y,LGAPWF2,-32.56450753,137.5571919
Hunter Economic Zone,0,NSW1,2022-08-30T04:05:00+0000,0,0,28,28,9,1.8,Jan-16,Snowy Hydro Limited,Generator,Market,Non-Scheduled,Fossil,Diesel,Combustion,Compression Reciprocating Engine,N,HEZ1,-32.836021,151.450471
Snapper Point Power Station,0,SA1,2022-08-30T04:05:00+0000,0,0,150,154,30,30,1-May,Port Adelaide Energy Pty Ltd,Generator,Market,Scheduled,Fossil,Diesel,Combustion,Open Cycle Gas turbines (OCGT),Y,SNAPPER1,-34.763571,138.506368
Murray Bridge-Onkaparinga Pipeline Pumping Station No 2,2.00E-02,SA1,2022-08-30T04:05:00+0000,0.2,0.15,10,13,3,2,1-May,South Australian Water Corporation,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Y,MBPS2PV1,-35.096732,139.210112
St Leonards Data Centre,0,TAS1,2022-08-30T04:05:00+0000,0,0,20,20,4,20,1,Firmus Grid Pty Ltd,Load,Market,Scheduled,Battery storage,Grid,Storage,Battery and Inverter,N,SLDCBLK1,,
Blue Grass Solar Farm,0.45078,QLD1,2022-08-30T04:05:00+0000,0.3,0.25,148,183,30,1.3214,1-112,X-Elio Blue Grass Pty Ltd,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Y,BLUEGSF1,-26.68306,150.506
Murra Warra Wind Farm Stage 2,55.3,VIC1,2022-08-30T04:05:00+0000,27.24,26.46,203,209,40,5.5,Jan-38,Murra Warra II Project Co Pty Ltd ATF The Murra Warra II Project Trust,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Y,MUWAWF2,,
Port Augusta Renewable Energy Park,54.83,SA1,2022-08-30T04:05:00+0000,27.28,26.11,201,210,41,4.02,Jan-50,Iberdrola Australia Energy Markets Pty Limited,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Y,PAREPW1,,
Metz Solar Farm,40.17093,NSW1,2022-08-30T04:05:00+0000,34.93,29.76,115,135,23,2.5,Jan-54,Metz ProjectCo Pty Ltd As The Trustee For Metz ProjectCo Trust,GENERATOR,Market,SEMI-SCHEDULED,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Y,METZSF1,,
"Mannum - Adelaide Pipeline Pumping Station No 3, PV Units 1-6",0,SA1,2022-08-30T04:05:00+0000,0,0,12,16.5,3,2.75,1-Jun,South Australian Water Corporation,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Y,MAPS3PV1,,
Happy Valley Water Treatment Plant,0,SA1,2022-08-30T04:05:00+0000,0,0,4,5.518,1,"0.642, 0.577","1-5, 6-9",South Australian Water Corporation,Generator,Market,Scheduled,Battery storage,Grid,Storage,Battery and Inverter,Y,HVWWBA1G,,
Happy Valley Water Treatment Plant,0,SA1,2022-08-30T04:05:00+0000,0,0,4,5.518,1,"0.642, 0.577","1-5, 6-9",South Australian Water Corporation,Load,Market,Scheduled,Battery storage,Grid,Storage,Battery and Inverter,Y,HVWWBA1L,,
Happy Valley Water Treatment Plant,0,SA1,2022-08-30T04:05:00+0000,0,0,8,11,1,2.75,1-Apr,South Australian Water Corporation,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Y,HVWWPV1,,
Woolooga Solar Farm,9.12845,QLD1,2022-08-30T04:05:00+0000,5.19,4.1,176,222.5,36,1.977,Jan-89,Woolooga Fund Pty Ltd as Trustee for the Woolooga Trust,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Y,WOOLGSF1,,
Columboola Solar Farm,14.107,QLD1,2022-08-30T04:05:00+0000,8.71,6.5,162,217,33,2.05,Jan-79,Columboola Solar Farm Nominees Pty Ltd as Trustee for Columboola Solar Farm Op Trust,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Y,COLUMSF1,,
Mortlake South Wind Farm,0,VIC1,2022-08-30T04:05:00+0000,0,0,153,157.5,31,4.5,Jan-35,Mortlake South Wind Farm Pty Ltd,Generator,market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Y,MRTLSWF1,-38.06316932,142.6674789
Queanbeyan BESS,0,NSW1,2022-08-30T04:05:00+0000,0,0,10,10,8,1.25,1-Aug,Berrybank 2 Asset Pty Ltd as trustee for Berrybank 2 Asset Trust,Generator,Market,Scheduled,Battery storage,Grid,Storage,Battery and Inverter,Y,QBYNBG1,,
Queanbeyan BESS,6.45E-02,NSW1,2022-08-30T04:05:00+0000,0.65,0.65,10,10,8,1.25,1-Aug,Berrybank 2 Asset Pty Ltd as trustee for Berrybank 2 Asset Trust,Load,Market,Scheduled,Battery storage,Grid,Storage,Battery and Inverter,Y,QBYNBL1,,
Christies Beach Wastewater Treatment Plant,0,SA1,2022-08-30T04:05:00+0000,0,0,2,2.16,1,0.432,1-May,South Australian Water Corporation,Generator,Market,Scheduled,Battery storage,Grid,Storage,Battery and Inverter,Y,CBWWBA1G,,
Christies Beach Wastewater Treatment Plant,0,SA1,2022-08-30T04:05:00+0000,0,0,2,2.16,1,0.432,1-May,South Australian Water Corporation,Load,Market,Scheduled,-,-,Storage,Battery and Inverter,Y,CBWWBA1L,,
South East Water - Halllam Hydro Plant,,VIC1,,,,1,0.25,,0.25,1,Progressive Green Pty Ltd,Generator,Market,Non-Scheduled,Hydro,Water,Renewable,Hydro - Gravity,N,HLMSEW01,-38.02317811,145.2781215
Kareeya Power Station,,QLD1,,,,7,7,,7,5,CleanCo Queensland Limited,Generator,Market,Non-Scheduled,Hydro,Water,Renewable,Run of River,N,KAREEYA5,-17.767002,145.577865
Baking Board Solar Farm,,QLD1,,,,14,17,1000,2.5,1-Jul,Diamond Energy Pty Ltd,Generator,Market,Non-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Y,BAKING1,-26.721325,150.554179
Tatura Biomass Generator,,VIC1,,,,1,1.1,,1.1,1,Diamond Energy Pty Ltd,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Sewerage / Waste Water,Combustion,Compression Reciprocating Engine,N,TATURA01,-36.479261,145.235026
Yarrawonga Hydro Power Station,,VIC1,,,,9,9,0,4.725,1-Feb,AGL Hydro Partnership,Generator,Market,Non-Scheduled,Hydro,Water,Renewable,Hydro - Gravity,N,YWNGAHYD,-36.00940982,145.9994615
Glenbawn Hydro Power Station,,NSW1,,,,6,5.5,0,5.5,1,AGL Hydro Partnership,Generator,Market,Non-Scheduled,Hydro,Water,Renewable,Hydro - Gravity,N,GLBWNHYD,-32.109661,150.998154
The Drop Power Station,,NSW1,,,,3,2.5,0,2.5,1,Pacific Hydro Investments Pty Ltd,Generator,Market,Non-Scheduled,Hydro,Water,Renewable,Run of River,N,THEDROP1,-35.604347,145.783725
Valdora Solar Farm,,QLD1,,,,15,15,0,15,1,Diamond Energy Pty Ltd,Generator,Market,Non-Scheduled,Solar,Solar,Renewable,Photovoltaic Flat panel,Y,VALDORA1,-26.5593043,153.0299952
Timboon West Wind Farm,,VIC1,,,,7.2,7.2,0,3.6,1-Feb,Alinta Energy Retail Sales Pty Ltd,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Y,TIMWEST,-38.5295189,142.9154966
Grosvenor 2,,QLD1,,,,15,15.205,0,3.041,1-May,EDL Projects (Australia) Pty Ltd,Generator,Market,Non-Scheduled,Fossil,Waste Coal Mine Gas,Combustion,Spark Ignition Reciprocating Engine,Y,GROSV2,-21.92931,148.0309
Adelaide Desalination Plant,,SA1,,,,0.02,0.02,-,0.02,1,South Australian Water Corporation,Generator,Market,Non-Scheduled,Solar,Solar,Renewable,Photovoltaic Flat panel,Y,ADPPV3,-35.09984,138.48384
Narromine Solar Farm,,NSW1,,,,9,10,0,2.5,1-Apr,Dubbo Solar Hub Pty Ltd,Generator,Market,Non-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,N,NASF1,-32.218459,148.254394
Glennies Creek Power Station,,NSW1,,,,12,12.78,0,1.065,1-Dec,EDL (OCI) Pty Limited,Generator,Market,Non-Scheduled,Fossil,Waste Coal Mine Gas,Combustion,Compression Reciprocating Engine,Y,GLENNCRK,-32.459843,151.128627
Roghan Road LFG Power Plant,,QLD1,,,,2,2,0,2,1,EDL LFG (Qld) Pty Ltd,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Bagasse,Combustion,Steam Sub-Critical,N,EDLRGNRD,-27.338768,153.03435
Broadwater Power Station,,NSW1,,,,38,38,"0, -","30, 8","1, 2",Cape Byron Management Pty Ltd,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Bagasse,Combustion,Steam Sub-Critical,N,BWTR1,-29.011828,153.433481
Keepit Hydro Power Station,,NSW1,,,,8,6,,6,1,GSP Energy Pty Ltd,Generator,Market,Non-Scheduled,Hydro,Water,Renewable,Hydro - Gravity,N,KEEPIT,-30.879189,150.491399
Lucas Heights 2 Power Station,,NSW1,,,,13,12.65,0,1.15,1-Nov,EDL LFG (NSW) Pty Ltd,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Spark Ignition Reciprocating Engine,N,LUCASHGT,-34.048146,150.973882
Callide Power Station,,QLD1,2021-03-11T03:25:00+0000,,,30,30,1,30,2,CS Energy Limited,Generator,Market,Non-Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,N,CALL_A_4,-24.334025,150.627973
Invicta Sugar Mill,,QLD1,2018-06-13T14:00:00+0000,,,51,50.3,"0, -, -","38.8, 9, 2.5","1, 2, 3",Stanwell Corporation Limited,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Bagasse,Combustion,Steam Sub-Critical,N,INVICTA,-19.516697,147.106526
Clayton Landfill Gas Power Station,,VIC1,,,,11,11,0,1,1-Nov,EDL LFG (Vic) Pty Ltd,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Spark Ignition Reciprocating Engine,N,CLAYTON,-37.9502,145.118722
Brown Mountain Hydro Power Station,,NSW1,,,,6,5,"0, -, -, -","0.5, 0.75, 1, 4.2","1, 2-3, 4-5, 6",Hydro Power Pty Limited,Generator,Market,Non-Scheduled,Hydro,Water,Renewable,Hydro - Gravity,Y,BROWNMT,-36.59508977,149.4740422
