Station Name,Current Output (MW),Region,Most Recent Output Time (AEST),Current % of Max Cap,Current % of Reg Cap,Max Cap (MW),Reg Cap (MW),Max ROC/Min,Unit Size (MW),Physical Unit No.,Participant,Dispatch Type,Category,Classification,Fuel Source - Primary,Fuel Source - Descriptor,Technology Type - Primary,Technology Type - Descriptor,Aggregation,DUID,Lat,Lon
Gannawarra Solar Farm,20.4,VIC1,2022-08-30T04:05:00+0000,40.8,37.09,50,55,1000,2.5,Jan-22,Gannawarra Solar Farm Pty Ltd,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Y,GANNSF1,-35.67615395,143.4553194
Longreach Solar Farm,11.113001,QLD1,2022-08-30T04:05:00+0000,79.38,65.37,14,17,1000,2,1-Jul,Diamond Energy Pty Ltd,Generator,Market,Non-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Y,LRSF1,-23.44638,144.35924
Manildra solar Farm,3.559,NSW1,2022-08-30T04:05:00+0000,7.74,7.12,46,50,"46, -",2.5,"1-10, 11-20",Manildra Prop Pty Ltd as The Trustee for the Manildra Asset Trust,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Flat panel,Y,MANSLR1,-33.17303216,148.7183255
Griffith Solar Farm,7.000008,NSW1,2022-08-30T04:05:00+0000,25.93,25.74,27,27.2,1,2.27,1-Dec,Griffith Solar Farm Pty Ltd,Generator,Market,Non-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Y,GRIFSF1,-34.315532,146.109415
Bungala One Solar Farm,0.21,SA1,2022-08-30T04:05:00+0000,0.19,0.16,110,135,25,2.5,54,Origin Energy Uranquinty Power Pty Ltd,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Y,BNGSF1,-32.423772,137.841959
Hamilton Solar Farm,6.6,QLD1,2022-08-30T04:05:00+0000,11.79,11.48,56,57.5,20,2.5,,Hamilton Solar Farm Pty Ltd,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Y,HAMISF1,-20.50481938,147.7670796
Salt Creek Wind Farm,44.46,VIC1,2022-08-30T04:05:00+0000,82.33,82.33,54,54,162,3.6,Jan-15,Salt Creek Wind Farm Pty Ltd,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Y,SALTCRK1,-37.9267551,142.7714791
Whitsunday Solar Farm,7.4,QLD1,2022-08-30T04:05:00+0000,13.21,12.87,56,57.5,20,2.5,Jan-23,Whitsunday Solar Farm Pty Ltd,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat Panel,Y,WHITSF1,-20.49488275,147.748063
Sun Metals Solar Farm,20.485,QLD1,2022-08-30T04:05:00+0000,16.93,14.33,121,143,25,2.33,"1-48, 49-52",Sun Metals Corporation Pty Ltd,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Flat panel,Y,SMCSF1,-19.33545611,146.8884966
Mt Gellibrand Wind Farm,65.69872,VIC1,2022-08-30T04:05:00+0000,49.77,47.61,132,137.984,"400/200, -, 400/200, -, -, -",3.136,"1-14,  19-26,  15-18,  27-35,  38-40,  42-47",Mt. Gellibrand Wind Farm Pty Ltd,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Y,MTGELWF1,-38.25869085,143.8019442
